Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jamaica,"141,058","134,638","117,452","136,358","129,459","166,732","202,745","200,045","191,112","184,151","171,459","180,573","185,962","186,067","200,736","193,095","224,936","291,130","413,477","326,571","341,862","401,690","432,014","430,662","414,603","378,704"
Ecuador,"95,075","101,125","58,845","92,720","70,885","160,476","156,873","190,055","179,892","96,259","100,969","109,263","142,774","106,565","131,517","120,379","132,432","228,148","243,007","222,688","242,351","338,746","466,955","423,419","421,503","356,462"
Haiti,"123,796","115,741","131,454","113,170","100,997","225,095","190,100","198,054","212,869","215,950","180,139","179,002","165,688","192,446","209,217","214,627","211,358","229,959","403,156","321,560","389,568","326,428","369,344","392,658","359,256","353,243"
Morocco,"145,604","133,281","166,332","305,985","140,004","152,991","232,889","162,547","130,528","145,945","166,077","90,288","122,845","152,821","169,306","164,427","297,482","669,682","524,159","504,783","764,482","930,103","660,847","438,946","412,146","306,966"
Denmark(*),"115,541","120,800","132,464","152,329","154,920","199,600","241,735","304,341","221,073","175,391","150,723","163,920","148,659","160,328","156,062","148,101","163,689","193,070","181,640","129,018","158,079","169,155","202,723","307,813","304,320","261,775"
"Bahamas, The","113,467","112,965","115,208","133,299","118,916","118,258","135,186","114,108","109,327","115,002","127,340","126,946","127,316","130,636","146,800","166,178","179,465","188,259","195,567","216,310","212,932","230,660","246,354","239,361","246,014","252,234"
Jordan,"179,504","128,193","103,066","177,039","126,466","162,688","150,568","142,357","87,672","88,892","95,440","121,802","89,811","93,986","131,936","89,195","142,260","130,661","146,312","220,014","192,801","383,322","216,297","253,183","222,880","237,225"
Poland,"86,490","39,305","107,568","193,168","96,186","113,486","224,365","120,385","120,396","66,848","53,034","89,473","67,644","66,211","84,581","83,917","97,013","107,135","146,128","149,361","202,268","155,981","176,455","359,050","220,056","234,100"
Kuwait,"23,110","16,047","31,516","42,774","51,811","66,531","42,156","45,470","50,175","57,036","48,093","58,447","55,110","118,101","75,707","80,696","83,227","114,641","156,470","127,961","145,279","206,096","193,196","223,681","235,486","232,907"
Nicaragua,"22,930","45,047","48,118","41,706","49,235","65,881","60,893","63,282","73,074","80,910","74,156","102,823","84,319","94,909","112,788","125,056","135,994","181,729","238,528","181,165","238,979","263,909","250,609","198,989","217,964","219,696"
South Africa,"81,328","83,578","477,369","235,673","150,007","267,259","297,067","219,929","199,032","173,182","133,916","99,461","148,383","148,557","168,545","146,222","125,677","290,682","393,354","161,751","298,206","365,537","270,912","296,138","253,229","207,051"
